Order ID,Order Date,Ship Date,Ship Mode,Customer ID,SubTotal,RegionID
CA-2014-100006,09/07/2014,9/13/2014,Standard Class,DK-13375,377.97,2
CA-2014-100090,07/08/2014,07/12/2014,Standard Class,EB-13705,502.488,2
CA-2014-100293,3/14/2014,3/18/2014,Standard Class,NF-18475,91.056,3
CA-2014-100328,1/28/2014,02/03/2014,Standard Class,JC-15340,3.928,1
CA-2014-100363,04/08/2014,4/15/2014,Standard Class,JM-15655,2.368,2
CA-2014-100391,5/25/2014,5/29/2014,Standard Class,BW-11065,14.62,4
CA-2014-100678,4/18/2014,4/22/2014,Standard Class,KM-16720,2.688,1
CA-2014-100706,12/16/2014,12/18/2014,Second Class,LE-16810,99.98,1
CA-2014-100762,11/24/2014,11/29/2014,Standard Class,NG-18355,151.92,2
CA-2014-100860,3/26/2014,3/30/2014,Second Class,CS-12505,18.75,4
CA-2014-100867,10/19/2014,10/24/2014,Standard Class,EH-14125,321.552,3
CA-2014-100881,3/28/2014,04/01/2014,Standard Class,DR-12940,302.376,2
CA-2014-100895,06/02/2014,06/06/2014,Standard Class,SV-20785,8.56,1
CA-2014-100916,10/21/2014,10/26/2014,Standard Class,FH-14275,194.7,3
CA-2014-100972,11/19/2014,11/24/2014,Second Class,DB-13360,166.44,2
CA-2014-101147,12/02/2014,12/04/2014,First Class,MC-17575,2.394,2
CA-2014-101175,12/09/2014,12/14/2014,Standard Class,DM-12955,100.704,3
CA-2014-101266,8/27/2014,8/30/2014,Second Class,MM-17920,13.36,1
CA-2014-101364,12/22/2014,12/26/2014,Standard Class,TW-21025,296.712,1
CA-2014-101392,12/07/2014,12/13/2014,Standard Class,AS-10630,269.36,3
CA-2014-101427,12/26/2014,12/30/2014,Standard Class,AY-10555,8.016,1
CA-2014-101462,4/20/2014,4/25/2014,Standard Class,BP-11230,59.92,1
CA-2014-101476,09/12/2014,9/13/2014,First Class,SD-20485,69.99,2
CA-2014-101560,11/28/2014,12/01/2014,Second Class,CS-12250,397.6,4
CA-2014-101602,12/15/2014,12/18/2014,First Class,MC-18100,40.68,3
CA-2014-101770,3/31/2014,04/04/2014,Standard Class,KB-16240,1.869,1
CA-2014-101833,11/17/2014,11/22/2014,Second Class,FG-14260,34.44,1
CA-2014-101931,10/28/2014,10/31/2014,First Class,TS-21370,7.184,2
CA-2014-102008,9/30/2014,10/04/2014,Standard Class,RA-19915,48.94,3
CA-2014-102085,10/04/2014,10/09/2014,Standard Class,JD-16015,29.24,3
CA-2014-102274,11/21/2014,11/26/2014,Standard Class,DH-13075,36.99,4
CA-2014-102295,11/24/2014,11/26/2014,Second Class,EH-13990,120.712,4
CA-2014-102330,12/29/2014,01/03/2015,Standard Class,AI-10855,88.8,2
CA-2014-102645,1/23/2014,1/28/2014,Standard Class,IM-15055,40.08,1
CA-2014-102652,04/06/2014,04/12/2014,Standard Class,AY-10555,91.96,1
CA-2014-102673,11/01/2014,11/05/2014,Standard Class,KH-16630,7.52,3
CA-2014-102869,09/09/2014,9/14/2014,Second Class,LC-17140,15.552,3
CA-2014-102988,04/05/2014,04/09/2014,Second Class,GM-14695,22.96,1
CA-2014-103058,7/23/2014,7/24/2014,First Class,AG-10270,99.98,1
CA-2014-103086,10/17/2014,10/19/2014,Second Class,EB-14170,5.312,4
CA-2014-103100,12/20/2014,12/23/2014,First Class,AB-10105,3.69,1
CA-2014-103191,9/22/2014,9/27/2014,Standard Class,VG-21805,331.536,4
CA-2014-103219,11/09/2014,11/13/2014,Standard Class,BF-11215,56.52,1
CA-2014-103310,05/10/2014,5/15/2014,Standard Class,GM-14680,39.96,1
CA-2014-103317,07/05/2014,07/08/2014,First Class,DM-13525,19.52,3
CA-2014-103331,8/26/2014,09/01/2014,Standard Class,KB-16315,10.68,3
CA-2014-103366,1/15/2014,1/17/2014,First Class,EH-13990,149.95,4
CA-2014-103373,5/18/2014,5/24/2014,Standard Class,BS-11755,779.796,1
CA-2014-103401,11/21/2014,11/26/2014,Standard Class,GR-14560,12.96,1
CA-2014-103429,5/30/2014,06/01/2014,First Class,LW-16825,25.584,4
CA-2014-103492,10/10/2014,10/15/2014,Standard Class,CM-12715,719.952,3
CA-2014-103527,09/09/2014,9/14/2014,Second Class,CC-12220,10.896,3
CA-2014-103590,11/30/2014,12/04/2014,Standard Class,JL-15505,62.28,2
CA-2014-103660,8/25/2014,8/30/2014,Standard Class,MW-18220,1007.944,2
CA-2014-103702,09/12/2014,9/17/2014,Standard Class,AF-10885,63.924,4
CA-2014-103744,2/23/2014,2/27/2014,Standard Class,MG-17875,6.936,2
CA-2014-103800,01/03/2014,01/07/2014,Standard Class,DP-13000,16.448,3
CA-2014-103807,12/02/2014,12/09/2014,Standard Class,EM-13825,5.95,3
CA-2014-103849,05/11/2014,5/16/2014,Standard Class,PG-18895,58.112,3
CA-2014-103940,9/17/2014,9/21/2014,Standard Class,BN-11515,30.28,1
CA-2014-103989,3/19/2014,3/21/2014,First Class,MC-17605,323.976,3
